package,url,description,authors,msc,verified
coq-angles,https://github.com/coq-contribs/angles,"The basis of the contribution is a formalization of the theory of oriented angles of non-zero vectors. Then, we prove some classical plane geometry theorems: the theorem which gives a necessary and sufficient condition so that four points are cocyclic, the one which shows that the reflected points with respect to the sides of a triangle orthocenter are on its circumscribed circle, the Simson's theorem and the Napoleon's theorem. The reader can refer to the associated research report (http://www-sop.inria.fr/lemme/FGRR.ps) and the README file of the contribution.",Frédérique Guilhot,51Axx,True
coq-antivalence,https://github.com/ivanbakel/coq-antivalence,"Antivalence generates universally-quantified type inequality axioms, letting   you treat the set of inductive definitions in your program as a closed   inductive definition itself.",Isaac van Bakel,03F65,True
coq-approx-models,https://gitlab.inria.fr/amahboub/approx-models,"This is a Coq library to verify rigorous approximations of univariate functions on real numbers. Based on interval arithmetic, this library also implements a technique of validation a posteriori based on the Banach fixed-point theorem. We moreover provide an implementation of verified Chebyshev approximations.","Florent Bréhard, Assia Mahboubi, Damien Pous",03F65,True
coq-area-method,https://github.com/coq-contribs/area-method,"This contribution is the implementation of the Chou, Gao and Zhang's area method decision procedure for euclidean plane geometry. This development contains a partial formalization of the book ""Machine Proofs in Geometry, Automated Production of Readable Proofs for Geometry Theorems"" by Chou, Gao and Zhang. The examples shown automatically (there are more than 100 examples) includes the Ceva, Desargues, Menelaus, Pascal, Centroïd, Pappus, Gauss line, Euler line, Napoleon theorems. Changelog 2.1 : remove some not needed assumptions in some elimination lemmas (2010) 2.0 : extension implementation to Euclidean geometry (2009-2010) 1.0 : first implementation for affine geometry (2004)",Julien Narboux,51M04,True
coq-async-test,https://github.com/liyishuai/coq-async-test,From interaction trees to asynchronous tests.,Yishuai Li,68N19,True
coq-atbr,https://github.com/coq-community/atbr,"This library provides algebraic tools for working with binary relations. The main tactic provided is a reflexive tactic for solving (in)equations in an arbitrary Kleene algebra. The decision procedure goes through standard finite automata constructions.  Note that the initial authors consider this library to be superseded by the Relation Algebra library, which is based on derivatives rather than automata: https://github.com/damien-pous/relation-algebra","Thomas Braibant, Damien Pous",03G15,True
coq-automata,https://github.com/coq-contribs/automata,"This library formalises the beginning of formal language theory: finite automata and rational languages, context-free grammars and push-down automata.","Judicaël Courant, Jean-Christophe Filliâtre",03D05,True
coq-autosubst,https://github.com/coq-community/autosubst,"Autosubst is a library for the Coq proof assistant which provides automation for formalizing syntactic theories with variable binders. Given an inductive definition of syntactic objects in de Bruijn representation augmented with binding annotations, Autosubst synthesizes the parallel substitution operation and automatically proves the basic lemmas about substitutions.","Steven Schäfer, Tobias Tebbi",68N18,False
coq-axiomatic-abp,https://github.com/coq-contribs/axiomatic-abp,The Alternating Bit Protocol is expressed in an axiomatized calculi of process. Correctness is proven.,Jan Friso Groote,68M12,True
coq-bbv,https://github.com/mit-plv/bbv,An implementation of bitvectors in Coq.,"Tej Chajed, Haogang Chen, Adam Chlipala, Joonwon Choi, Andres Erbsen, Jason Gross, Samuel Gruetter, Frans Kaashoek, Alex Konradi, Gregory Malecha, Duckki Oe, Murali Vijayaraghavan, Nickolai Zeldovich, Daniel Ziegler",68W27,True
coq-bdds,https://github.com/coq-contribs/bdds,"Provides BDD algorithms running under Coq. (BDD are Binary Decision Diagrams.) Allows one to do classical validity checking by reflection in Coq using BDDs, can also be used to get certified BDD algorithms by extraction. First step towards actual symbolic model-checkers in Coq. See file README for operation.",Kumar Neeraj Verma,68Wxx,False
coq-bedrock2,https://github.com/mit-plv/bedrock2,A work-in-progress language and compiler for verified low-level programming,"Massachusetts Institute of Technology, Kevix, SiFive",None,False
coq-bellantonicook,https://github.com/davidnowak/bellantonicook,Deep embedding of Bellantoni and Cook's syntactic characterization of polytime functions,"Sylvain Heraud, David Nowak",68Q15,False
coq-bertrand,https://github.com/coq-community/bertrand,"A proof of correctness of the algorithm for computing prime numbers as described in ""The Art of Computer Programming: Fundamental Algorithms"" by Knuth, pp. 147-149, and an application using Bertrand's postulate.",Laurent Théry,11-xx,False
coq-bignums,https://github.com/coq/bignums,"Provides BigN, BigZ, BigQ that used to be part of Coq standard library < 8.6","Laurent Théry, Benjamin Grégoire, Arnaud Spiwack, Evgeny Makarov, Pierre Letouzey",NA,False
coq-bits,https://github.com/coq-community/bits,A formalization of bitset operations in Coq and the corresponding axiomatization and extraction to OCaml native integers,"Andrew Kennedy, Arthur Blot, Pierre-Évariste Dagand",68Q65,False
coq-buchberger,https://github.com/coq-community/buchberger,"A verified implementation of Buchberger's algorithm in Coq, which computes the Gröbner basis associated with a polynomial ideal. Also includes a constructive proof of Dickson's lemma.","Laurent Théry, Henrik Persson",06-xx,False
coq-bytestring,https://gitlab.com/bedrockpublic/coq-bytestring,A simple string library built around byte.,Gregory Malecha,68-04,True
coq-canon-bdds,https://github.com/coq-contribs/canon-bdds,A proof of unicity and canonicity of Binary Decision Trees and Binary Decision Dags. This contrib contains also a development on finite sets.,Emmanuel Ledinot,68Wxx,False
coq-cantor,https://github.com/coq-contribs/cantor,"Note: this package has been superseded by coq-hydra-battles.  This contribution contains data structures for ordinals less than Gamma0 under Cantor and Veblen normal forms. Well-foundedness is established thanks to RPO with status for generic terms. This contribution also includes termination proofs of Hydra battles and Goodstein sequences as well as a computation of the length of the Goodstein sequence starting from 4 in base 2.  This work is supported by INRIA-Futurs (Logical project-team), CNRS and the French ANR via the A3PAT project (http://www3.iie.cnam.fr/~urbain/a3pat/).","Pierre Castéran, Évelyne Contejean",03-xx,False
coq-cats-in-zfc,https://github.com/coq-contribs/cats-in-zfc,"In a ZFC-like environment augmented by reference to the ambient type theory, we develop some basic set theory, ordinals, cardinals and transfinite induction, and category theory including functors, natural transformations, limits and colimits, functor categories, and the theorem that functor_cat a b has (co)limits if b does.",Carlos Simpson,03Exx,False
coq-ccs,https://github.com/coq-contribs/ccs,We give the specification of three different notions of equivalence classically defined on labelled transitions systems underlying the theories of process algebra (and particularly CCS). The fundamentals properties of these equivalence notions are proven.,Solange Coupet-Grimal,68Q85,False
coq-cecoa,https://github.com/davidnowak/cecoa,Implicit-complexity Coq library to prove that some programs are computable in polynomial time,"Hugo Férée, Samuel Hym, Micaela Mayero, Jean-Yves Moyen, David Nowak",68Q15,False
coq-ceramist,https://github.com/certichain/ceramist,"Ceramist extends coq-infotheo to support reasoning about probabilistic algorithms,   and includes a collection of lemmas on random oracle based hash functions.    Provides an example implementation of a bloom filter and uses the library to prove   the probability of a false positive.","Kiran Gopinathan, Ilya Sergey",68Q65,False
coq-ceres,https://github.com/Lysxia/coq-ceres,Library for serialization to S-expressions,,None,False
coq-cfgv,http://www.nuprl.org/html/CFGVLFMTP2014/,Please read the following paper,"Abhishek, Vincent Rahli",68N18,False
coq-cfml,https://gitlab.inria.fr/charguer/cfml,A tool for proving OCaml programs in Separation Logic,,None,False
coq-chapar,https://github.com/coq-community/chapar,A framework for modular verification of causal consistency for replicated key-value store implementations and their client programs in Coq. Includes proofs of the causal consistency of two key-value store implementations and a simple automatic model checker for the correctness of client programs.,"Mohsen Lesani, Christian J. Bell, Adam Chlipala",68Q85,False
coq-charge-core,https://github.com/jesper-bengtson/ChargeCore,logics. Also includes definitions for separation algebras.,"Jesper Bengtson, Gregory Malecha",None,False
coq-checker,https://github.com/coq-contribs/checker,The Mutilated Checkerboard,Gérard Huet,00A08,True
coq-cheerios,https://github.com/uwplse/cheerios,A formally verified serialization library for Coq which defines a typeclass for serializable types and instances for many standard library types.,"Justin Adsuara, Karl Palmskog, Keith Simmons, James R. Wilcox, Doug Woos",68Q65,False
coq-chick-blog,https://github.com/clarus/coq-chick-blog,A blog engine written and proven in Coq,Guillaume Claret,None,False
coq-chinese,https://github.com/coq-contribs/chinese,OBSOLETE. See rather Zchinese-lemma that uses Z of Zarith.,Valérie Ménissier-Morain,11-xx,False
coq-circuits,https://github.com/coq-contribs/circuits,"definition and proof of a combinatorial adder, a sequential multiplier, a memory block instruction",Laurent Arditi,94Cxx,False
coq-classical-realizability,https://github.com/coq-contribs/classical-realizability,The aim of this Coq library is to provide a framework for checking proofs in Krivine's classical realizability for second-order Peano arithmetic.  It is designed to be as extensible as the original theory by Krivine and to support on-the-fly extensions by new instructions with their evaluation rules.,Lionel Rieg,03-xx,False
coq-coalgebras,https://github.com/coq-contribs/coalgebras,"This contribution contains a formalisation of coalgebras, bisimulation on coalgebras, weakly final coalgebras, lambda-coiteration definition scheme (including primitive corecursion) and a version of lambda-bisimulation. The formalisation is modular. The implementation of the module types for streams and potentially infinite Peano numbers are provided using the coinductive types.",Milad Niqui,18-xx,False
coq-coinduction,https://github.com/damien-pous/coinduction,"Coinductive predicates are greatest fixpoints of monotone functions. The `companion' makes it possible to enhance the associated coinduction scheme. This library provides a formalisation on enhancements based on the companion, as well as tactics in making it straightforward to perform proofs by enhanced coinduction.",Damien Pous,None,False
coq-coinductive-examples,https://github.com/coq-contribs/coinductive-examples,"This directory containts some simple examples about the use of co-inductive types in Coq. Directory ARITH is about non-standard arithmetic. Directory STREAMS contains examples about schemes, including an application of the translation method presented in Eduardo Giménez's article ``Codifying guarded definitions with recursive schemes'' (LNCS no. 996).",Eduardo Giménez,NA,False
coq-coinductive-reals,http://www.cs.ru.nl/~milad/ETrees/coinductive-field/,See the README file,Milad Niqui,03D78,False
coq-color,http://color.inria.fr/,A library on rewriting theory and termination,"Frédéric Blanqui, Adam Koprowski, Sébastien Hinderer, Pierre-Yves Strub, Sidi Ould Biha, Solange Coupet-Grimal, William Delobel, Hans Zantema, Stéphane Leroux, Léo Ducas, Johannes Waldmann, Qiand Wang, Lianyi Zhang, Sorin Stratulat",68wxx,False
coq-comp-dec-modal,https://github.com/coq-community/comp-dec-modal,"This project presents machine-checked constructive proofs of soundness, completeness, decidability, and the small-model property for the logics K, K*, CTL, and PDL (with and without converse).  For all considered logics, we prove soundness and completeness of their respective Hilbert-style axiomatization. For K, K*, and CTL, we also prove soundness and completeness for Gentzen systems (i.e., sequent calculi).  For each logic, the central construction is a pruning-based algorithm computing for a given formula either a satisfying model of bounded size or a proof of its negation. The completeness and decidability results then follow with soundness from the existence of said algorithm.",Christian Doczkal,03B45,False
coq-compcert,http://compcert.inria.fr/,The CompCert C compiler (64 bit),,68N20,False
coq-compcert-32,http://compcert.inria.fr/,"This package installs the 32 bit version of CompCert. For coexistence with the 64 bit version, the files are installed in: %{prefix}%/variants/compcert32/bin  (ccomp and clightgen binaries) %{prefix}%/variants/compcert32/lib/compcert  (C library) %{lib}%/coq-variant/compcert32/compcert (Coq library) Please note that the coq module path is compcert and not compcert32, so the files cannot be directly Required as compcert32. Instead -Q or -R options must be used to bind the compcert32 folder to the module path compcert. This is more convenient if one development supports both 32 and 64 bit versions. Otherwise all files would have to be duplicated with module paths compcert and compcert32. Please also note that the binary folder is usually not in the path.",,68N20,False
coq-compcert-64,http://compcert.inria.fr/,"This package installs the 64 bit version of CompCert. For coexistence with the 32 bit version, the files are installed in: %{prefix}%/variants/compcert64/bin  (ccomp and clightgen binaries) %{prefix}%/variants/compcert64/lib/compcert  (C library) %{lib}%/coq/user-contrib/compcert64  (Coq library) Please note that the coq module path is compcert and not compcert64, so the files cannot be directly Required as compcert64. Instead -Q or -R options must be used to bind the compcert64 folder to the module path compcert. This is more convenient if one development uses both 32 and 64 bit versions. Otherwise all files would have to be duplicated with module paths compcert and compcert64. Please also note that the binary folder is usually not in the path.",,68N20,False
coq-concat,http://logical.inria.fr/~saibi/docCatV6.ps,Constructive Category Theory,Amokrane Saïbi,18-xx,False
coq-concurrency-pluto,https://github.com/coq-concurrency/pluto,A web server written in Coq,Guillaume Claret,None,False
coq-concurrency-proxy,https://github.com/coq-concurrency/proxy,A proxy to interface concurrent Coq programs with the operating system,Guillaume Claret,None,False
coq-concurrency-system,https://github.com/coq-concurrency/system,Experimental library to write concurrent applications in Coq,Guillaume Claret,None,False
coq-constructive-geometry,https://github.com/coq-contribs/constructive-geometry,Constructive Geometry following Jan von Plato.,Gilles Kahn,51-xx,False
coq-constructors,https://github.com/mattam82/Constructors,"An example Coq plugin, defining a tactic to get the constructors of an inductive type in a list",,None,False
coq-containers,https://github.com/coq-contribs/containers,"This is a reimplementation of the FSets/FMaps library from the standard library, using typeclasses. See tests files for usage. A new vernacular command is provided by Generate.v and the plugin to automatically generate ordered types for user-defined inductive types.",Stéphane Lescuyer,68Q65,False
coq-continuations,https://github.com/coq-contribs/continuations,"We show a way of developing correct functionnal programs raising exceptions. This is made possible using a Continuation Passing Style translation, see the contribution ""exceptions"" from P. Casteran at Bordeaux. Things are made easier and more modular using some general definitions.",Jean-François Monin,68Q55,False
coq-coq-in-coq,https://github.com/coq-contribs/coq-in-coq,A formalisation of the Calculus of Construction,Bruno Barras,03B38,False
coq-coq2html,https://github.com/xavierleroy/coq2html,Generates HTML documentation from Coq source files.  Alternative to coqdoc,,68V35,True
coq-coqeal,https://github.com/CoqEAL/coqeal,"This libary contains a subset of the work that was developed in the context of the ForMath european project (2009-2013). It has two parts: - theory (module CoqEAL_theory), which contains formal developments in algebra and optimized algorithms on mathcomp data structures. - refinements (module CoqEAL_refinements), which is a framework to ease change of data representation during a proof.","Guillaume Cano, Cyril Cohen, Maxime Dénès, Anders Mörtberg, Damien Rouhling, Vincent Siles",68Wxx,False
coq-coqeal-refinements,http://www.maximedenes.fr/content/coqeal-coq-effective-algebra-library,A refinement framework (for algebra),,None,False
coq-coqeal-theory,http://www.maximedenes.fr/content/coqeal-coq-effective-algebra-library,The theory needed by the refinement framework library,,None,False
coq-coqffi,https://github.com/coq-community/coqffi,"`coqffi` generates the necessary Coq boilerplate to use OCaml functions in a Coq development, and configures the Coq extraction mechanism accordingly.","Thomas Letan, Li-yao Xia, Yann Régis-Gianas, Yannick Zakowski",NA,False
coq-coqoban,https://github.com/coq-community/coqoban,"A Coq implementation of Sokoban, the Japanese warehouse keepers' game.","Jasper Stein, Hugo Herbelin",00A08,True
coq-coqprime,https://github.com/thery/coqprime,Certifying prime numbers in Coq,Laurent Théry,None,False
coq-coqrel,https://github.com/CertiKOS/coqrel,Binary logical relations library for the Coq proof assistant,Jérémie Koenig,03B38,False
coq-coqtail,https://github.com/coq-community/coqtail-math,Coqtail is a library of mathematical theorems and tools proved inside the Coq proof assistant. Results range mostly from arithmetic to real and complex analysis.,"Guillaume Allais, Sylvain Dailler, Hugo Férée, Jean-Marie Madiot, Pierre-Marie Pédrot, Amaury Pouly",14Pxx,False
coq-coquelicot,http://coquelicot.saclay.inria.fr/,A Coq formalization of real analysis compatible with the standard library,"Sylvie Boldo, Catherine Lelay, Guillaume Melquiond",14Pxx,False
coq-coqutil,https://github.com/mit-plv/coqutil,"### coqutil -- Various Coq Utilities  Contents: * [Datatypes](https://github.com/mit-plv/coqutil/tree/master/src/coqutil/Datatypes): Some utilities for existing datatypes, and new datatypes. * [Decidable](https://github.com/mit-plv/coqutil/blob/master/src/coqutil/Decidable.v): `BoolSpec`-based decidability typeclasses. Allows one to write `if MyType_eqb a b then ... else ...` where `MyType_eqb a b` returns a `bool`, instead of writing `if MyType_eq_dec a b then ... else ...` where `MyType_eq_dec a b` returns a `sumbool`, while still getting `a = b` and `a <> b` as hypotheses (as opposed to `MyType_eqb a b = true` and `MyType_eqb a b = false`) after destructing the `if` (need to use [`destr`](https://github.com/mit-plv/coqutil/blob/master/src/coqutil/Tactics/destr.v) instead of `destruct`). So one gets the benefits of `Sumbool` without getting its disadvantage of having to carry around proof terms, which can cause a blow-up under reduction if one is not careful. * [Map](https://github.com/mit-plv/coqutil/tree/master/src/coqutil/Map): A typeclass based map library allowing one to abstract over the concrete implementation of maps. The implementations have to be extensional, which excludes certain efficient implementations, but simplifies proofs, because one can `replace mapA with mapB` if one can prove that `mapA` and `mapB` have the same contents. Comes with a [solver](https://github.com/mit-plv/coqutil/blob/master/src/coqutil/Map/Solver.v) which works reasonably fast on most map goals we have encountered so far. * [Tactics](https://github.com/mit-plv/coqutil/tree/master/src/coqutil/Tactics): A collection of useful general-purpose tactics. * [Word](https://github.com/mit-plv/coqutil/tree/master/src/coqutil/Word): Fixed width words for any width, in the same typeclass based style as the map library. Designed for the case where all words have the same (potentially abstract) bit width. Therefore, it does not provide functions to concatenate and split words, which is better addressed by [bbv](https://github.com/mit-plv/bbv/). * [Z](https://github.com/mit-plv/coqutil/tree/master/src/coqutil/Z): Utilities to work with the `Z` type from Coq's standard library, including a tactic to prove `Z` equalities by splitting the equality into equalities on bit index ranges, a tactic to make `lia` capable of reasoning about goals with division and modulo, and a tactic to simplify expressions containing nested occurrences of `mod`, and more misc utilities. * Various macros, notations, and desirable default settings.  Each feature is intended to be as minimal and as independent of the other features as possible, so that users can pick just what they need.",Massachusetts Institute of Technology,None,False
coq-corn,https://github.com/coq-community/corn,"CoRN includes the following parts:  - Algebraic Hierarchy    An axiomatic formalization of the most common algebraic   structures, including setoids, monoids, groups, rings,   fields, ordered fields, rings of polynomials, real and   complex numbers  - Model of the Real Numbers    Construction of a concrete real number structure   satisfying the previously defined axioms  - Fundamental Theorem of Algebra    A proof that every non-constant polynomial on the complex   plane has at least one root  - Real Calculus    A collection of elementary results on real analysis,   including continuity, differentiability, integration,   Taylor's theorem and the Fundamental Theorem of Calculus  - Exact Real Computation    Fast verified computation inside Coq. This includes: real numbers, functions,   integrals, graphs of functions, differential equations.","Evgeny Makarov, Robbert Krebbers, Eelis van der Weegen, Bas Spitters, Jelle Herold, Russell O'Connor, Cezary Kaliszyk, Dan Synek, Luís Cruz-Filipe, Milad Niqui, Iris Loeb, Herman Geuvers, Randy Pollack, Freek Wiedijk, Jan Zwanenburg, Dimitri Hendriks, Henk Barendregt, Mariusz Giero, Rik van Ginneken, Dimitri Hendriks, Sébastien Hinderer, Bart Kirkels, Pierre Letouzey, Lionel Mamane, Nickolay Shmyrev, Vincent Semeria",06-xx,False
coq-counting,https://github.com/coq-contribs/counting,This plugin keeps the count of the size of definitions and proofs in the current Coq session.,Stéphane Lescuyer,NA,False
coq-cours-de-coq,https://github.com/coq-contribs/cours-de-coq,Various simple examples of Coq proofs,"Frédéric Prost, Gilles Kahn",NA,False
coq-ctltctl,https://github.com/coq-contribs/ctltctl,This library formalises two logics for reasoning about reactive systems (CTL) and real time systems (TCTL) represents using timed automatas (timed graphs) with discrete time. http://www.fing.edu.uy/~cluna,Carlos Daniel Luna,03B45,False
coq-cunit,https://github.com/clarus/coq-cunit,Convenience functions for unit testing in Coq,Guillaume Claret,None,False
coq-cybele,https://github.com/clarus/cybele,A Coq plugin for simpler proofs by reflection or OCaml certificates,Guillaume Claret,None,False
coq-dblib,https://github.com/coq-contribs/dblib,http://gallium.inria.fr/~fpottier/dblib/README  The dblib library offers facilities for working with de Bruijn indices.,Francois Pottier,68N18,False
coq-demos,https://github.com/coq-contribs/demos,Example of sorting algorithms defined using the Cases (pattern-matching) construction. Demo of the decision tactic Tauto for intuitionistic propositional calculus. Demo of the AutoRewrite tactic. Demo of the Prolog tactic applied to the compilation of miniML programs.,Coq group,NA,False
coq-dep-map,https://github.com/coq-contribs/dep-map,A rudimentary library for dependent maps that contain their domain in the type.,Lionel Rieg,68Q65,False
coq-deriving,https://github.com/arthuraa/deriving,"Deriving provides generic instances of MathComp classes for inductive data types.  It includes native support for eqType, choiceType, countType and finType instances, and it allows users to define their own instances for other classes.",Arthur Azevedo de Amorim,68Q65,False
coq-descente-infinie,https://github.com/coq-contribs/descente-infinie,This is a tactic plugin for coq. The tactic helps to prove inductive lemmas by fixpoint functions. A manual for the tactic can be found on its homepage listed above.,"Razvan Voicu, Li Mengran",NA,False
coq-dictionaries,https://github.com/coq-contribs/dictionaries,"This file contains a specification for dictionaries, and an implementation using binary search trees. Coq's module system, with module types and functors, is heavily used. It can be considered as a certified version of an example proposed by Paulson in Standard ML. A detailed description (in French) can be found in the chapter 11 of The Coq'Art, the book written by Yves Bertot and Pierre Castéran (please follow the link http://coq.inria.fr/doc-eng.html)",Pierre Castéran,68Q65,False
coq-dijkstra,https://github.com/fetburner/coq-dijkstra,A Verified Implementation of Dijkstra's Algorithm,Masayuki Mizuno,05Cxx	,False
coq-disel,https://github.com/DistributedComponents/disel,"Disel is a framework for implementation and compositional verification of distributed systems and their clients in Coq. In Disel, users implement distributed systems using a domain specific language shallowly embedded in Coq which provides both high-level programming constructs as well as low-level communication primitives. Components of composite systems are specified in Disel as protocols, which capture system-specific logic and disentangle system definitions from implementation details.","Ilya Sergey, James R. Wilcox",68Q85,False
coq-disel-examples,https://github.com/DistributedComponents/disel,"Example systems for Disel, a separation-style logic for compositional verification of distributed systems in Coq","Ilya Sergey, James R. Wilcox",68Q85,False
coq-distributed-reference-counting,https://github.com/coq-contribs/distributed-reference-counting,This library contains the constructive proof of correctness of several variants of a distributed reference counting algorithm.,"Luc Moreau, Jean Duprat",68N20,False
coq-domain-theory,https://github.com/coq-contribs/domain-theory,Domain theory as devised by Scott and Plotkin and following Kahn and Plotkin paper on Concrete Domains,Gilles Kahn,68N18,False
coq-dpdgraph,https://github.com/karmaki/coq-dpdgraph,"Compute dependencies between Coq objects (definitions, theorems) and produce graphs","Anne Pacalet, Yves Bertot",None,False
coq-elpi,https://github.com/LPCIC/coq-elpi,"Coq-elpi provides a Coq plugin that embeds ELPI. It also provides a way to embed Coq's terms into λProlog using the Higher-Order Abstract Syntax approach and a way to read terms back.  In addition to that it exports to ELPI a set of Coq's primitives, e.g. printing a message, accessing the environment of theorems and data types, defining a new constant and so on. For convenience it also provides a quotation and anti-quotation for Coq's syntax in λProlog.  E.g. `{{nat}}` is expanded to the type name of natural numbers, or `{{A -> B}}` to the representation of a product by unfolding  the `->` notation. Finally it provides a way to define new vernacular commands and new tactics.",Enrico Tassi,None,False
coq-engine-bench,https://github.com/mit-plv/engine-bench,Collection of benchmarks for the proof engine,"Jason Gross, Andres Erbsen, Massachusetts Institute of Technology",None,False
coq-engine-bench-lite,https://github.com/mit-plv/engine-bench,Collection of benchmarks for the proof engine (lite version),"Jason Gross, Andres Erbsen, Massachusetts Institute of Technology",None,False
coq-equations,https://mattam82.github.io/Coq-Equations,"Equations is a function definition plugin for Coq, that allows the definition of functions by dependent pattern-matching and well-founded, mutual or nested structural recursion and compiles them into core terms. It automatically derives the clauses equations, the graph of the function and its associated elimination principle.","Matthieu Sozeau, Cyprien Mangin",NA,False
coq-ergo,https://github.com/coq-contribs/ergo,This library provides a tactic that performs SMT solving (SAT + congruence closure + arithmetic).,Stéphane Lescuyer,68Wxx,False
coq-error-handlers,https://github.com/clarus/coq-error-handlers,Simple and robust error handling functions,Guillaume Claret,None,False
coq-euclidean-geometry,https://github.com/coq-contribs/euclidean-geometry,"This is a more recent version of the basis of Euclid's plane geometry, the previous version was the contribution intitled RulerCompassGeometry. The plane geometry is defined as a set of points, with two predicates : Clokwise for the orientation and Equidistant for the metric and three constructors, Ruler for the lines, Compass for the circles and Intersection for the points. For using it, we suggest to compile the files the name of which begin by a capital letter and a number from A1 to N7 in the lexicographic order and to keep modifiable the files of tacics (from Tactic1 to Tactic4) and the files of examples (Hilbert and Bolyai).",Jean Duprat,51M05,True
coq-euler-formula,https://github.com/coq-contribs/euler-formula,This library formalizes the combinatorial hypermaps and their properties in a constructive way. It gives the proofs of the Genus Theorem and of the Euler Formula for the polyhedra.,Jean-François Dufourd,52-xx,False
coq-exact-real-arithmetic,https://github.com/coq-contribs/exact-real-arithmetic,This contribution contains a proof of correctness of some exact real arithmetic algorithms from the PhD thesis of Valérie Ménissier-Morain,Jérôme Creci,03D78,False
coq-exceptions,https://github.com/coq-contribs/exceptions,"Pro[gramm,v]ing with continuations:A development in Coq",Pierre Castéran,68Q55,False
coq-ext-lib,https://github.com/coq-community/coq-ext-lib,A collection of theories and plugins that may be useful in other Coq developments.,Gregory Malecha,None,False
coq-extensible-records,https://github.com/gmalecha/coq-extensible-records,Definitional (canonical) extensible records in Coq with string keys and arbitrary (non-dependent) types,Gregory Malecha,None,False
coq-extructures,https://github.com/arthuraa/extructures,"Finite sets, maps, and other data structures with extensional reasoning",Arthur Azevedo de Amorim,68Q65,False
coq-fairisle,http://www.dil.univ-mrs.fr/~jakubiec/fairisle.tar.gz,This library contains the development of general definitions dedicated to the verification of sequential synchronous devices (based on Moore and Mealy automata) and the formal verification of the Fairisle 4x4 Switch Element.,"Solange Coupet-Grimal, Line Jakubiec-Jamet",94Cxx,False
coq-fcsl-pcm,http://software.imdea.org/fcsl/,"The PCM library provides a formalisation of Partial Commutative Monoids (PCMs), a common algebraic structure used in separation logic for verification of pointer-manipulating sequential and concurrent programs. The library provides lemmas for mechanised and automated reasoning about PCMs in the abstract, but also supports concrete common PCM instances, such as heaps, histories and mutexes.  This library relies on extensionality axioms: propositional and functional extentionality.",Aleksandar Nanevski,68Q65,False
coq-fermat4,https://github.com/coq-contribs/fermat4,"This contribution presents the formalization of Fermat's proofs of Diophantus' 20th Problem and Fermat's Last Theorem for n = 4. The proofs are completed using Fermat's ""wonderful"" method of infinite descent.","David Delahaye, Micaela Mayero",11-xx,False
